Parameter	Input value	Error	Mean	Median	Minimum	2th%	9th%	25th%	75th%	91th%	98th%	Maximum
Downwind range (km)	20.6	 4.1	20.6	20.6	16.9	17.7	18.8	19.7	21.5	22.5	23.3	24.9
		20.0%			-18.0%	-14.0%	-9.0%	-4.5%	 4.4%	 8.9%	13.1%	20.6%
Crosswind range (km)	11.3	 2.3	11.3	11.3	 9.1	 9.9	10.3	10.8	11.8	12.3	12.8	13.7
		20.0%			-19.6%	-12.7%	-8.8%	-4.7%	 4.5%	 9.1%	13.2%	21.6%
Clast diameter (cm)	 1.6	 0.3	 1.6	 1.6	 1.3	 1.4	 1.5	 1.5	 1.7	 1.7	 1.8	 1.9
		20.0%			-19.8%	-14.0%	-9.1%	-3.9%	 4.7%	 9.4%	13.7%	18.2%
WW87 constant	 0.3	 0.1	 0.3	 0.3	 0.2	 0.3	 0.3	 0.3	 0.3	 0.3	 0.3	 0.3
		20.0%			-17.2%	-11.8%	-8.2%	-4.3%	 4.4%	 8.7%	13.0%	18.1%
Ma09 constant	 2.0	 0.4	 2.0	 2.0	 1.6	 1.7	 1.8	 1.9	 2.1	 2.2	 2.3	 2.5
		20.0%			-19.2%	-14.4%	-9.3%	-4.8%	 4.7%	 9.1%	13.2%	23.7%
Deposit density (kgm-3)	1000.0	200.0	1002.4	1003.9	795.8	853.3	909.4	955.9	1049.5	1089.9	1142.9	1222.9
		20.0%			-20.7%	-15.0%	-9.4%	-4.8%	 4.5%	 8.6%	13.9%	21.8%
Distal integration limit (km)	300.0	60.0	299.8	299.5	240.4	260.4	273.2	286.8	313.4	326.7	341.3	358.5
		20.0%			-19.7%	-13.0%	-8.8%	-4.2%	 4.6%	 9.1%	14.0%	19.7%

Plume height (km asl)	29.5		29.4	29.4	25.9	27.4	28.0	28.7	30.2	30.9	31.5	32.6
					-12.2%	-7.0%	-4.8%	-2.4%	 2.5%	 4.9%	 6.9%	10.8%
Wind speed (ms-1)	18.7		19.0	18.9	 8.7	10.5	13.5	16.4	21.6	24.4	27.0	33.6
					-54.0%	-44.5%	-28.6%	-13.4%	14.3%	29.2%	42.9%	78.1%
MER - W&W87 (kgs-1)	4.0e+07		4.2e+07	4.0e+07	1.7e+07	2.1e+07	2.7e+07	3.3e+07	4.9e+07	6.0e+07	7.5e+07	9.2e+07
					-57.4%	-46.9%	-33.0%	-18.1%	22.2%	51.7%	88.3%	132.0%
MER - Ma09 (kgs-1)	6.9e+07		7.2e+07	6.7e+07	2.5e+07	3.5e+07	4.5e+07	5.4e+07	8.5e+07	1.1e+08	1.4e+08	2.1e+08
					-62.9%	-47.1%	-32.9%	-18.9%	26.9%	62.9%	105.3%	207.8%
MER - D&B12 (kgs-1)	1.8e+08		1.8e+08	1.8e+08	1.0e+08	1.3e+08	1.5e+08	1.6e+08	2.0e+08	2.2e+08	2.5e+08	2.7e+08
					-44.5%	-27.0%	-18.4%	-10.0%	11.1%	21.5%	34.6%	47.5%

Exp-T01	1383.5		444789147764070780.0	1544.0	188.4	315.7	492.6	786.7	3568.0	14526.7	773966.0	444788792692695890000.0
					-87.8%	-79.6%	-68.1%	-49.0%	131.1%	840.8%	50027.1%	28807456260724879000.0%
Exp-k1	-0.4		-0.4	-0.4	-5.4	-1.2	-0.7	-0.5	-0.3	-0.2	-0.2	-0.1
					1297.1%	201.2%	77.7%	29.9%	-21.7%	-37.6%	-51.4%	-68.2%
Exp-T02	184.3		186.8	174.0	77.8	101.6	120.8	142.7	215.5	273.9	359.9	572.0
					-55.3%	-41.6%	-30.6%	-18.0%	23.8%	57.4%	106.8%	228.7%
Exp-k2	-0.1		-0.1	-0.1	-0.2	-0.2	-0.2	-0.1	-0.1	-0.1	-0.1	-0.1
					49.7%	30.6%	18.7%	 9.2%	-7.8%	-14.1%	-20.9%	-31.4%
PL-Tpl	5936.7		6104.5	5696.3	1870.5	2913.9	3711.0	4563.0	7206.4	9236.0	12086.0	20930.2
					-67.2%	-48.8%	-34.9%	-19.9%	26.5%	62.1%	112.2%	267.4%
PL-k	-2.1		-2.1	-2.1	-2.6	-2.4	-2.3	-2.2	-2.0	-1.9	-1.8	-1.7
					22.6%	13.6%	 8.9%	 4.3%	-3.8%	-7.3%	-11.6%	-19.9%
WBL-Theta	74.9		93.7	76.5	 6.7	42.8	55.0	65.7	93.2	146.3	298.5	617.5
					-91.2%	-44.0%	-28.0%	-14.1%	21.9%	91.3%	290.4%	707.7%
WBL-Lambda	13.6		13.1	13.5	 5.0	 6.6	 9.3	12.0	14.5	15.6	17.4	43.7
					-62.9%	-51.4%	-31.1%	-10.8%	 7.8%	15.9%	29.2%	224.0%
WBL-n	 1.2		 1.1	 1.2	 0.5	 0.5	 0.5	 0.9	 1.4	 1.6	 1.9	 2.2
					-56.9%	-56.9%	-56.9%	-25.9%	20.5%	41.0%	64.4%	93.3%

